,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
66884,2336858,23368501,1,1981,-2,1,1,1,5,2,3,4,4,1,1,2,2018,1,1,640,421,48,1,29.0,1.0,-2.0,-1.0,3.0,0.0,-2.0,-2.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,37
66897,2339180,23391802,1,1975,-2,1,1,1,5,2,3,2,2,4,1,1,2018,2,2,230,530,3,3,23.0,1.0,-2.0,-1.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,-2.0,-2.0,43
66911,2345270,23452701,2,1982,-2,1,1,12,5,1,3,0,0,6,6,1,2018,1,1,522,522,1,29,21.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,36
66937,2349348,23493402,2,2001,-2,1,1,6,7,-2,3,6,2,5,-1,3,2018,2,1,431,-1,-2,42,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
66939,2350001,23500001,1,1963,-2,1,1,9,5,2,3,0,0,1,1,2,2018,1,1,230,210,3,117,20.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,55
66965,2353418,23534101,1,1956,-2,1,1,5,5,1,3,6,1,6,6,3,2018,1,1,210,530,22,22,16.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,3.0,2.0,-1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62
66995,2359556,23595501,1,1969,-2,1,1,8,5,2,3,6,6,1,2,1,2018,1,1,1,10,1,22,21.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,2.0,2.0,-1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,49
67018,2362662,23626601,2,1989,-2,1,1,9,5,-1,3,0,0,-1,-1,1,2018,2,2,521,522,2,2,20.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,2.0,2.0,-1.0,3.0,-2.0,-2.0,-2.0,21.0,-2.0,1.0,-2.0,-2.0,-2.0,29
67025,2363570,23635701,2,1995,-2,1,1,8,5,-2,3,2,4,4,4,3,2018,1,1,522,10,2,2,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,23
67029,2364479,23644702,1,1970,-2,1,1,6,5,2,3,1,1,6,6,1,2018,2,1,220,530,3,3,25.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,48
67038,2365513,23655102,1,2001,-2,1,1,9,7,-2,3,2,5,6,-1,1,2018,1,1,540,-1,-2,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
67064,2369950,23699502,2,1984,-2,1,1,2,5,2,3,6,1,6,6,1,2018,2,1,220,521,2,2,19.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,34
67076,2371076,23710701,1,1987,-2,1,1,4,5,2,3,0,1,3,3,2,2018,2,2,434,440,4,4,23.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,31
67077,2371076,23710702,2,1983,-2,1,1,8,5,2,3,1,6,3,3,2,2018,2,2,521,10,4,4,20.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,35
67081,2371432,23714301,1,1968,-2,1,1,11,5,2,3,1,1,3,2,1,2018,2,1,431,220,1,14,20.0,1.0,-2.0,-1.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,50
